,bg_mean,subject,session,scan,bg_size,bg_std,dvars,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,gcor,ghost_y,m_tsnr,mean_fd,num_fd,outlier,perc_fd,quality,snr
1249,54.5709183792,sub-11098,session_1,bart,98097,79.1484724067,0.94881530461,0.582861712665,61.2077935271,734.430904569,41167,162.231099412,2.07466104468,2.10481333333,2.21325,1.9168875,0.0128238478856,0.028927212581,48.1625556946,0.068068491264,2.0,,0.746268656716,0.0127211165169,9.27915450844
1250,42.5513915239,sub-70037,session_1,stopsignal,105799,70.5782490327,1.15282657851,0.515143432462,100.217962247,805.750656913,33465,177.29472474,2.17736182681,2.16431333333,2.34334,2.03533262132,0.00964037250576,0.0238899607211,64.3794403076,0.0485201135928,0.0,,0.0,0.00618505641304,11.4164160766
1251,58.7628093764,sub-70073,session_1,scap,97710,89.174135376,1.14131183144,0.585858675495,54.1308786101,767.889110943,41554,166.464477814,1.99485916723,1.96940666667,2.17183666667,1.8559825,0.0173559331723,0.0359305106103,62.2645645142,0.0819250288407,0.0,,0.0,0.00587774536082,8.61111921866
1252,61.9065356547,sub-10455,session_1,taskswitch,101120,83.949861569,1.10197958351,0.568934490896,64.1738069415,811.464996072,38144,199.329000201,2.21087542959,2.21147333333,2.42090333333,2.0185175,0.0706719455628,0.0545336566865,27.1352920532,0.322635879564,14.0,,6.6985645933,0.0217929041346,9.66606711323
1253,55.2857370399,sub-70046,session_1,stopsignal,100279,86.5351759151,1.28335036622,0.559540825804,67.9547856145,822.045293677,38985,202.015997715,2.13040742843,2.12871333333,2.31816666667,1.95941011679,0.0117612012512,0.0370528772473,66.1325759888,0.0350046339406,0.0,,0.0,0.00499791782609,9.49955073164
1254,49.8603077941,sub-10775,session_1,pamenc,98395,80.1748880854,1.21167930205,0.552740463171,94.3123623708,884.89027186,40869,240.147257885,2.42990811206,2.43732647297,2.60730333333,2.2576925,0.00688835634046,0.0384740754962,79.5816955566,0.056776079891,0.0,,0.0,0.00297086768595,11.0370003999
1255,41.6428772194,sub-10722,session_1,bht,106781,68.5533595693,1.14526556403,0.5105322148,99.7387093556,782.609277903,32483,170.901620944,2.02979345635,2.03256016153,2.23129666667,1.84397260991,0.0411843530782,0.036486055702,71.4910202026,0.0707473284989,0.0,,0.0,0.00498044924051,11.416060173
1256,53.6028736228,sub-60060,session_1,pamenc,102741,74.5044723175,1.06783180801,0.558059577837,69.5577603998,746.282151565,36523,170.374286813,2.19022991161,2.14149333333,2.39493333333,2.0486125,0.0144825618645,0.0524056330323,59.250289917,0.0801942339477,0.0,,0.0,0.00609363132231,10.01660878
1257,49.9214187603,sub-10565,session_1,stopsignal,106940,82.6874739594,1.12858277525,0.518559245399,71.4708709577,791.651052547,32324,200.157764703,2.40439573955,2.38604666667,2.63347333333,2.2121275,0.0335407413571,0.0444824099541,66.2230682373,0.044370603576,0.0,,0.0,0.00535847945652,9.57401423263
1258,49.2250515739,sub-10775,session_1,scap,98186,78.6043583884,1.17584861864,0.557248887737,93.9739577856,873.020788103,41078,214.873369924,2.24640922193,2.25735333333,2.42463,2.0711975,0.0151159916806,0.0336816161871,70.0670013428,0.0497315510441,1.0,,0.342465753425,0.00413464676976,11.1065188496
1259,42.3431754146,sub-10785,session_1,stopsignal,105869,65.0933905921,1.21792228987,0.522870424318,97.6667259449,751.768532866,33395,154.208766905,1.8932792367,1.91267015201,1.98958666667,1.78337,0.0082956740911,0.0195768922567,71.9286880493,0.0736988326034,0.0,,0.0,0.0047820926087,11.5490762738
1260,52.7951431615,sub-50085,session_1,pamret,102069,77.4363229356,1.06668771326,0.556005704383,75.9545152783,800.355427071,37195,163.064302313,2.04152585147,2.02447666667,2.23776333333,1.878185,0.043276540506,0.0214818064123,48.9990234375,0.115160603001,1.0,,0.371747211896,0.0112143497015,10.335658987
1261,59.8678732402,sub-50073,session_1,taskswitch,99992,92.5018909749,1.13347419751,0.569130521363,52.857203284,773.964485463,39272,206.645197774,2.24147893002,2.21194,2.50051686539,2.036105,0.00871107567818,0.0470293611288,45.7532348633,0.0352860253882,0.0,,0.0,0.011115155,8.36701258002
